   xk <= x <   xk+1; y_i      =    65.3599     +       -0.000111722x; type: least-square
11220 <= x <  11250; y_374    =      4933.0000 +   -0.4333x; interpolation
11250 <= x <  11280; y_375    =     -4067.0000 +    0.3667x; interpolation
11280 <= x <  11310; y_376    =      4581.0000 +   -0.4000x; interpolation
11310 <= x <  11340; y_377    =     -5598.0000 +    0.5000x; interpolation
11340 <= x <  11370; y_378    =      5742.0000 +   -0.5000x; interpolation
11370 <= x <  11400; y_379    =     -5249.0000 +    0.4667x; interpolation
11400 <= x <  11430; y_380    =      2351.0000 +   -0.2000x; interpolation
11430 <= x <  11460; y_381    =     15686.0000 +   -1.3667x; interpolation
11460 <= x <  11490; y_382    =    -10290.0000 +    0.9000x; interpolation
11490 <= x <  11520; y_383    =      -715.0000 +    0.0667x; interpolation
11520 <= x <  11550; y_384    =     -6859.0000 +    0.6000x; interpolation
11550 <= x <  11580; y_385    =      7001.0000 +   -0.6000x; interpolation
11580 <= x <  11610; y_386    =     -6895.0000 +    0.6000x; interpolation
11610 <= x <  11640; y_387    =      6650.0000 +   -0.5667x; interpolation
11640 <= x <  11670; y_388    =     -6542.0000 +    0.5667x; interpolation
11670 <= x <  11700; y_389    =      6295.0000 +   -0.5333x; interpolation
11700 <= x <  11730; y_390    =     -6575.0000 +    0.5667x; interpolation
11730 <= x <  11760; y_391    =      6328.0000 +   -0.5333x; interpolation
11760 <= x <  11790; y_392    =      -336.0000 +    0.0333x; interpolation
11790 <= x <  11820; y_393    =     -4659.0000 +    0.4000x; interpolation
11820 <= x <  11850; y_394    =      5191.0000 +   -0.4333x; interpolation
11850 <= x <  11880; y_395    =     -5474.0000 +    0.4667x; interpolation
11880 <= x <  11910; y_396    =       862.0000 +   -0.0667x; interpolation
11910 <= x <  11940; y_397    =     -1917.0000 +    0.1667x; interpolation
11940 <= x <  11970; y_398    =      1267.0000 +   -0.1000x; interpolation
11970 <= x <  12000; y_399    =        70.0000 +    0.0000x; interpolation
12000 <= x <  12030; y_400    =      -330.0000 +    0.0333x; interpolation
12030 <= x <  12060; y_401    =      6487.0000 +   -0.5333x; interpolation
12060 <= x <  12090; y_402    =     -6779.0000 +    0.5667x; interpolation
12090 <= x <  12120; y_403    =      6520.0000 +   -0.5333x; interpolation
12120 <= x <  12150; y_404    =     -6408.0000 +    0.5333x; interpolation
12150 <= x <  12180; y_405    =      6552.0000 +   -0.5333x; interpolation
12180 <= x <  12210; y_406    =     -6440.0000 +    0.5333x; interpolation
12210 <= x <  12240; y_407    =      6991.0000 +   -0.5667x; interpolation
12240 <= x <  12270; y_408    =      -761.0000 +    0.0667x; interpolation
12270 <= x <  12300; y_409    =     -5669.0000 +    0.4667x; interpolation
12300 <= x <  12330; y_410    =      5401.0000 +   -0.4333x; interpolation
12330 <= x <  12360; y_411    =     -6107.0000 +    0.5000x; interpolation
12360 <= x <  12390; y_412    =      6253.0000 +   -0.5000x; interpolation
12390 <= x <  12420; y_413    =     -5311.0000 +    0.4333x; interpolation
12420 <= x <  12450; y_414    =       899.0000 +   -0.0667x; interpolation
12450 <= x <  12480; y_415    =      5879.0000 +   -0.4667x; interpolation
12480 <= x <  12510; y_416    =     -6185.0000 +    0.5000x; interpolation
12510 <= x <  12540; y_417    =      6325.0000 +   -0.5000x; interpolation
12540 <= x <  12570; y_418    =      -781.0000 +    0.0667x; interpolation
12570 <= x <  12600; y_419    =     -5390.0000 +    0.4333x; interpolation
12600 <= x <  12630; y_420    =        70.0000 +    0.0000x; interpolation
12630 <= x <  12660; y_421    =     -1193.0000 +    0.1000x; interpolation
12660 <= x <  12690; y_422    =      6403.0000 +   -0.5000x; interpolation
12690 <= x <  12720; y_423    =     -5441.0000 +    0.4333x; interpolation
12720 <= x <  12750; y_424    =      5583.0000 +   -0.4333x; interpolation
12750 <= x <  12780; y_425    =     -5467.0000 +    0.4333x; interpolation
12780 <= x <  12810; y_426    =      5609.0000 +   -0.4333x; interpolation
12810 <= x <  12840; y_427    =     -5493.0000 +    0.4333x; interpolation
12840 <= x <  12870; y_428    =      5635.0000 +   -0.4333x; interpolation
12870 <= x <  12900; y_429    =     -5948.0000 +    0.4667x; interpolation
12900 <= x <  12930; y_430    =      5662.0000 +   -0.4333x; interpolation
12930 <= x <  12960; y_431    =     -5113.0000 +    0.4000x; interpolation
12960 <= x <  12990; y_432    =      5687.0000 +   -0.4333x; interpolation
12990 <= x <  13020; y_433    =     -5138.0000 +    0.4000x; interpolation
13020 <= x <  13050; y_434    =      5712.0000 +   -0.4333x; interpolation
13050 <= x <  13080; y_435    =     -6033.0000 +    0.4667x; interpolation
13080 <= x <  13110; y_436    =       943.0000 +   -0.0667x; interpolation
13110 <= x <  13140; y_437    =       943.0000 +   -0.0667x; interpolation
13140 <= x <  13170; y_438    =      4009.0000 +   -0.3000x; interpolation
13170 <= x <  13200; y_439    =     -5649.0000 +    0.4333x; interpolation
13200 <= x <  13230; y_440    =      1391.0000 +   -0.1000x; interpolation
13230 <= x <  13260; y_441    =     -2137.0000 +    0.1667x; interpolation
13260 <= x <  13290; y_442    =      3167.0000 +   -0.2333x; interpolation
13290 <= x <  13320; y_443    =     -3035.0000 +    0.2333x; interpolation
13320 <= x <  13350; y_444    =      1849.0000 +   -0.1333x; interpolation
13350 <= x <  13380; y_445    =      -821.0000 +    0.0667x; interpolation
13380 <= x <  13410; y_446    =       963.0000 +   -0.0667x; interpolation
13410 <= x <  13440; y_447    =      5433.0000 +   -0.4000x; interpolation
13440 <= x <  13470; y_448    =     -6663.0000 +    0.5000x; interpolation
13470 <= x <  13500; y_449    =      7256.0000 +   -0.5333x; interpolation
13500 <= x <  13530; y_450    =     -6694.0000 +    0.5000x; interpolation
13530 <= x <  13560; y_451    =      6836.0000 +   -0.5000x; interpolation
13560 <= x <  13590; y_452    =     -7628.0000 +    0.5667x; interpolation
13590 <= x <  13620; y_453    =      8227.0000 +   -0.6000x; interpolation
13620 <= x <  13650; y_454    =     -8117.0000 +    0.6000x; interpolation
13650 <= x <  13680; y_455    =      8263.0000 +   -0.6000x; interpolation
13680 <= x <  13710; y_456    =     -2225.0000 +    0.1667x; interpolation
13710 <= x <  13740; y_457    =      7372.0000 +   -0.5333x; interpolation
13740 <= x <  13770; y_458    =      9204.0000 +   -0.6667x; interpolation
13770 <= x <  13800; y_459    =    -17418.0000 +    1.2667x; interpolation
13800 <= x <  13830; y_460    =     -4078.0000 +    0.3000x; interpolation
13830 <= x <  13860; y_461    =      7447.0000 +   -0.5333x; interpolation
13860 <= x <  13890; y_462    =     -6875.0000 +    0.5000x; interpolation
13890 <= x <  13920; y_463    =      7478.0000 +   -0.5333x; interpolation
13920 <= x <  13950; y_464    =     -7834.0000 +    0.5667x; interpolation
13950 <= x <  13980; y_465    =      8441.0000 +   -0.6000x; interpolation
13980 <= x <  14010; y_466    =     -7403.0000 +    0.5333x; interpolation
14010 <= x <  14040; y_467    =      6607.0000 +   -0.4667x; interpolation
14040 <= x <  14070; y_468    =     -8369.0000 +    0.6000x; interpolation
14070 <= x <  14100; y_469    =      8046.0000 +   -0.5667x; interpolation
14100 <= x <  14130; y_470    =     -7464.0000 +    0.5333x; interpolation
14130 <= x <  14160; y_471    =      7608.0000 +   -0.5333x; interpolation
14160 <= x <  14190; y_472    =      -416.0000 +    0.0333x; interpolation
14190 <= x <  14220; y_473    =     -5619.0000 +    0.4000x; interpolation
14220 <= x <  14250; y_474    =      5283.0000 +   -0.3667x; interpolation
14250 <= x <  14280; y_475    =     -6117.0000 +    0.4333x; interpolation
14280 <= x <  14310; y_476    =      6259.0000 +   -0.4333x; interpolation
14310 <= x <  14340; y_477    =     -6620.0000 +    0.4667x; interpolation
14340 <= x <  14370; y_478    =      6764.0000 +   -0.4667x; interpolation
14370 <= x <  14400; y_479    =     -7606.0000 +    0.5333x; interpolation
14400 <= x <  14430; y_480    =       554.0000 +   -0.0333x; interpolation
14430 <= x <  14460; y_481    =      8731.0000 +   -0.6000x; interpolation
14460 <= x <  14490; y_482    =     -8621.0000 +    0.6000x; interpolation
14490 <= x <  14520; y_483    =      7318.0000 +   -0.5000x; interpolation
14520 <= x <  14550; y_484    =     -3330.0000 +    0.2333x; interpolation
14550 <= x <  14580; y_485    =      3460.0000 +   -0.2333x; interpolation
14580 <= x <  14610; y_486    =     -4316.0000 +    0.3000x; interpolation
14610 <= x <  14640; y_487    =      5911.0000 +   -0.4000x; interpolation
14640 <= x <  14670; y_488    =     -7753.0000 +    0.5333x; interpolation
14670 <= x <  14700; y_489    =      9362.0000 +   -0.6333x; interpolation
14700 <= x <  14730; y_490    =     -9258.0000 +    0.6333x; interpolation
14730 <= x <  14760; y_491    =      7927.0000 +   -0.5333x; interpolation
14760 <= x <  14790; y_492    =     -8801.0000 +    0.6000x; interpolation
14790 <= x <  14820; y_493    =        73.0000 +    0.0000x; interpolation
14820 <= x <  14850; y_494    =      3037.0000 +   -0.2000x; interpolation
14850 <= x <  14880; y_495    =     -2903.0000 +    0.2000x; interpolation
14880 <= x <  14910; y_496    =      5033.0000 +   -0.3333x; interpolation
14910 <= x <  14940; y_497    =        63.0000 +    0.0000x; interpolation
14940 <= x <  14970; y_498    =     -1929.0000 +    0.1333x; interpolation
14970 <= x <  15000; y_499    =      5556.0000 +   -0.3667x; interpolation
15000 <= x <  15030; y_500    =      -944.0000 +    0.0667x; interpolation
15030 <= x <  15060; y_501    =     -4952.0000 +    0.3333x; interpolation
15060 <= x <  15090; y_502    =      5088.0000 +   -0.3333x; interpolation
15090 <= x <  15120; y_503    =     -6984.0000 +    0.4667x; interpolation
15120 <= x <  15150; y_504    =       576.0000 +   -0.0333x; interpolation
15150 <= x <  15180; y_505    =      2091.0000 +   -0.1333x; interpolation
15180 <= x <  15210; y_506    =     -3475.0000 +    0.2333x; interpolation
15210 <= x <  15240; y_507    =      6158.0000 +   -0.4000x; interpolation
15240 <= x <  15270; y_508    =     -5018.0000 +    0.3333x; interpolation
15270 <= x <  15300; y_509    =      4653.0000 +   -0.3000x; interpolation
15300 <= x <  15330; y_510    =     -5547.0000 +    0.3667x; interpolation
15330 <= x <  15360; y_511    =      7228.0000 +   -0.4667x; interpolation
15360 <= x <  15390; y_512    =     -5572.0000 +    0.3667x; interpolation
15390 <= x <  15420; y_513    =      8279.0000 +   -0.5333x; interpolation
15420 <= x <  15450; y_514    =     -9197.0000 +    0.6000x; interpolation
15450 <= x <  15480; y_515    =      9343.0000 +   -0.6000x; interpolation
15480 <= x <  15510; y_516    =      -977.0000 +    0.0667x; interpolation
15510 <= x <  15540; y_517    =      1091.0000 +   -0.0667x; interpolation
15540 <= x <  15570; y_518    =       573.0000 +   -0.0333x; interpolation
15570 <= x <  15600; y_519    =     -9807.0000 +    0.6333x; interpolation
15600 <= x <  15630; y_520    =      5793.0000 +   -0.3667x; interpolation
15630 <= x <  15660; y_521    =     -5669.0000 +    0.3667x; interpolation
15660 <= x <  15690; y_522    =      1117.0000 +   -0.0667x; interpolation
15690 <= x <  15720; y_523    =      -975.0000 +    0.0667x; interpolation
15720 <= x <  15750; y_524    =      1121.0000 +   -0.0667x; interpolation
15750 <= x <  15780; y_525    =      9521.0000 +   -0.6000x; interpolation
15780 <= x <  15810; y_526    =     -9415.0000 +    0.6000x; interpolation
15810 <= x <  15840; y_527    =      9030.0000 +   -0.5667x; interpolation
15840 <= x <  15870; y_528    =     -9450.0000 +    0.6000x; interpolation
15870 <= x <  15900; y_529    =      2188.0000 +   -0.1333x; interpolation
15900 <= x <  15930; y_530    =     -1522.0000 +    0.1000x; interpolation
15930 <= x <  15960; y_531    =      8567.0000 +   -0.5333x; interpolation
15960 <= x <  15990; y_532    =     -8989.0000 +    0.5667x; interpolation
15990 <= x <  16020; y_533    =      9133.0000 +   -0.5667x; interpolation
16020 <= x <  16050; y_534    =     -8489.0000 +    0.5333x; interpolation
16050 <= x <  16080; y_535    =     13446.0000 +   -0.8333x; interpolation
16080 <= x <  16110; y_536    =     11838.0000 +   -0.7333x; interpolation
16110 <= x <  16140; y_537    =    -19845.0000 +    1.2333x; interpolation
16140 <= x <  16170; y_538    =     -4243.0000 +    0.2667x; interpolation
16170 <= x <  16200; y_539    =        69.0000 +    0.0000x; interpolation
16200 <= x <  16230; y_540    =      7629.0000 +   -0.4667x; interpolation
16230 <= x <  16260; y_541    =     -8060.0000 +    0.5000x; interpolation
16260 <= x <  16290; y_542    =      9284.0000 +   -0.5667x; interpolation
16290 <= x <  16320; y_543    =     -9721.0000 +    0.6000x; interpolation
16320 <= x <  16350; y_544    =      8775.0000 +   -0.5333x; interpolation
16350 <= x <  16380; y_545    =     -8665.0000 +    0.5333x; interpolation
16380 <= x <  16410; y_546    =      8261.0000 +   -0.5000x; interpolation
16410 <= x <  16440; y_547    =     -7055.0000 +    0.4333x; interpolation
16440 <= x <  16470; y_548    =      6645.0000 +   -0.4000x; interpolation
16470 <= x <  16500; y_549    =     -7629.0000 +    0.4667x; interpolation
16500 <= x <  16530; y_550    =      7771.0000 +   -0.4667x; interpolation
16530 <= x <  16560; y_551    =     -7106.0000 +    0.4333x; interpolation
16560 <= x <  16590; y_552    =      7798.0000 +   -0.4667x; interpolation
16590 <= x <  16620; y_553    =     -7686.0000 +    0.4667x; interpolation
16620 <= x <  16650; y_554    =      7272.0000 +   -0.4333x; interpolation
16650 <= x <  16680; y_555    =     -6603.0000 +    0.4000x; interpolation
16680 <= x <  16710; y_556    =      7853.0000 +   -0.4667x; interpolation
16710 <= x <  16740; y_557    =     -9414.0000 +    0.5667x; interpolation
16740 <= x <  16770; y_558    =      8442.0000 +   -0.5000x; interpolation
16770 <= x <  16800; y_559    =     -5533.0000 +    0.3333x; interpolation
16800 <= x <  16830; y_560    =      6227.0000 +   -0.3667x; interpolation
16830 <= x <  16860; y_561    =     -6676.0000 +    0.4000x; interpolation
16860 <= x <  16890; y_562    =      7374.0000 +   -0.4333x; interpolation
16890 <= x <  16920; y_563    =     -8953.0000 +    0.5333x; interpolation
16920 <= x <  16950; y_564    =      8531.0000 +   -0.5000x; interpolation
16950 <= x <  16980; y_565    =     -8419.0000 +    0.5000x; interpolation
16980 <= x <  17010; y_566    =      9127.0000 +   -0.5333x; interpolation
17010 <= x <  17040; y_567    =     -5615.0000 +    0.3333x; interpolation
17040 <= x <  17070; y_568    =      5177.0000 +   -0.3000x; interpolation
17070 <= x <  17100; y_569    =     -8479.0000 +    0.5000x; interpolation
17100 <= x <  17130; y_570    =     -1069.0000 +    0.0667x; interpolation
17130 <= x <  17160; y_571    =     10351.0000 +   -0.6000x; interpolation
17160 <= x <  17190; y_572    =     -9669.0000 +    0.5667x; interpolation
17190 <= x <  17220; y_573    =      9813.0000 +   -0.5667x; interpolation
17220 <= x <  17250; y_574    =     -8555.0000 +    0.5000x; interpolation
17250 <= x <  17280; y_575    =      9270.0000 +   -0.5333x; interpolation
17280 <= x <  17310; y_576    =     -8586.0000 +    0.5000x; interpolation
17310 <= x <  17340; y_577    =     -1085.0000 +    0.0667x; interpolation
17340 <= x <  17370; y_578    =      8163.0000 +   -0.4667x; interpolation
17370 <= x <  17400; y_579    =     -8049.0000 +    0.4667x; interpolation
17400 <= x <  17430; y_580    =      8191.0000 +   -0.4667x; interpolation
17430 <= x <  17460; y_581    =     -9239.0000 +    0.5333x; interpolation
17460 <= x <  17490; y_582    =      9385.0000 +   -0.5333x; interpolation
17490 <= x <  17520; y_583    =     -9271.0000 +    0.5333x; interpolation
17520 <= x <  17550; y_584    =      8833.0000 +   -0.5000x; interpolation
17550 <= x <  17580; y_585    =     -8717.0000 +    0.5000x; interpolation
17580 <= x <  17610; y_586    =      9449.0000 +   -0.5333x; interpolation
17610 <= x <  17640; y_587    =     -7574.0000 +    0.4333x; interpolation
17640 <= x <  17670; y_588    =      7714.0000 +   -0.4333x; interpolation
17670 <= x <  17700; y_589    =      1235.0000 +   -0.0667x; interpolation
17700 <= x <  17730; y_590    =    -10565.0000 +    0.6000x; interpolation
17730 <= x <  17760; y_591    =     11302.0000 +   -0.6333x; interpolation
17760 <= x <  17790; y_592    =    -11194.0000 +    0.6333x; interpolation
17790 <= x <  17820; y_593    =     11933.0000 +   -0.6667x; interpolation
17820 <= x <  17850; y_594    =    -10639.0000 +    0.6000x; interpolation
17850 <= x <  17880; y_595    =     10186.0000 +   -0.5667x; interpolation
17880 <= x <  17910; y_596    =    -10674.0000 +    0.6000x; interpolation
17910 <= x <  17940; y_597    =     10221.0000 +   -0.5667x; interpolation
17940 <= x <  17970; y_598    =     -9513.0000 +    0.5333x; interpolation
17970 <= x <  18000; y_599    =     10254.0000 +   -0.5667x; interpolation
18000 <= x <  18030; y_600    =    -10746.0000 +    0.6000x; interpolation
18030 <= x <  18060; y_601    =     10890.0000 +   -0.6000x; interpolation
18060 <= x <  18090; y_602    =    -10180.0000 +    0.5667x; interpolation
18090 <= x <  18120; y_603    =     10322.0000 +   -0.5667x; interpolation
18120 <= x <  18150; y_604    =    -10818.0000 +    0.6000x; interpolation
18150 <= x <  18180; y_605    =     10357.0000 +   -0.5667x; interpolation
18180 <= x <  18210; y_606    =    -10247.0000 +    0.5667x; interpolation
18210 <= x <  18240; y_607    =     10998.0000 +   -0.6000x; interpolation
18240 <= x <  18270; y_608    =    -10282.0000 +    0.5667x; interpolation
18270 <= x <  18300; y_609    =     11033.0000 +   -0.6000x; interpolation
18300 <= x <  18330; y_610    =     -9707.0000 +    0.5333x; interpolation
18330 <= x <  18360; y_611    =      8623.0000 +   -0.4667x; interpolation
18360 <= x <  18390; y_612    =     -9125.0000 +    0.5000x; interpolation
18390 <= x <  18420; y_613    =        70.0000 +    0.0000x; interpolation
18420 <= x <  18450; y_614    =     28928.0000 +   -1.5667x; interpolation
18450 <= x <  18480; y_615    =       638.0000 +   -0.0333x; interpolation
18480 <= x <  18510; y_616    =    -29546.0000 +    1.6000x; interpolation
18510 <= x <  18540; y_617    =     10559.0000 +   -0.5667x; interpolation
18540 <= x <  18570; y_618    =    -11071.0000 +    0.6000x; interpolation
18570 <= x <  18600; y_619    =     10594.0000 +   -0.5667x; interpolation
18600 <= x <  18630; y_620    =    -10486.0000 +    0.5667x; interpolation
18630 <= x <  18660; y_621    =     11249.0000 +   -0.6000x; interpolation
18660 <= x <  18690; y_622    =    -11143.0000 +    0.6000x; interpolation
18690 <= x <  18720; y_623    =     10662.0000 +   -0.5667x; interpolation
18720 <= x <  18750; y_624    =    -10554.0000 +    0.5667x; interpolation
18750 <= x <  18780; y_625    =     11321.0000 +   -0.6000x; interpolation
18780 <= x <  18810; y_626    =     -9963.0000 +    0.5333x; interpolation
18810 <= x <  18840; y_627    =     -1185.0000 +    0.0667x; interpolation
18840 <= x <  18870; y_628    =       699.0000 +   -0.0333x; interpolation
18870 <= x <  18900; y_629    =     -1817.0000 +    0.1000x; interpolation
18900 <= x <  18930; y_630    =     10153.0000 +   -0.5333x; interpolation
18930 <= x <  18960; y_631    =     -3729.0000 +    0.2000x; interpolation
18960 <= x <  18990; y_632    =      3223.0000 +   -0.1667x; interpolation
18990 <= x <  19020; y_633    =     -8171.0000 +    0.4333x; interpolation
19020 <= x <  19050; y_634    =        71.0000 +    0.0000x; interpolation
19050 <= x <  19080; y_635    =     10866.0000 +   -0.5667x; interpolation
19080 <= x <  19110; y_636    =    -11394.0000 +    0.6000x; interpolation
19110 <= x <  19140; y_637    =     12812.0000 +   -0.6667x; interpolation
19140 <= x <  19170; y_638    =    -12070.0000 +    0.6333x; interpolation
19170 <= x <  19200; y_639    =     10934.0000 +   -0.5667x; interpolation
19200 <= x <  19230; y_640    =    -11466.0000 +    0.6000x; interpolation
19230 <= x <  19260; y_641    =     10969.0000 +   -0.5667x; interpolation
19260 <= x <  19290; y_642    =     -8291.0000 +    0.4333x; interpolation
19290 <= x <  19320; y_643    =      8427.0000 +   -0.4333x; interpolation
19320 <= x <  19350; y_644    =    -10249.0000 +    0.5333x; interpolation
19350 <= x <  19380; y_645    =     11681.0000 +   -0.6000x; interpolation
19380 <= x <  19410; y_646    =    -10283.0000 +    0.5333x; interpolation
19410 <= x <  19440; y_647    =      9774.0000 +   -0.5000x; interpolation
19440 <= x <  19470; y_648    =     -9666.0000 +    0.5000x; interpolation
19470 <= x <  19500; y_649    =      9155.0000 +   -0.4667x; interpolation
19500 <= x <  19530; y_650    =     -9045.0000 +    0.4667x; interpolation
19530 <= x <  19560; y_651    =     10485.0000 +   -0.5333x; interpolation
19560 <= x <  19590; y_652    =    -11683.0000 +    0.6000x; interpolation
19590 <= x <  19620; y_653    =     10519.0000 +   -0.5333x; interpolation
19620 <= x <  19650; y_654    =    -10409.0000 +    0.5333x; interpolation
19650 <= x <  19680; y_655    =      9896.0000 +   -0.5000x; interpolation
19680 <= x <  19710; y_656    =     -9784.0000 +    0.5000x; interpolation
19710 <= x <  19740; y_657    =     12554.0000 +   -0.6333x; interpolation
19740 <= x <  19770; y_658    =    -12450.0000 +    0.6333x; interpolation
19770 <= x <  19800; y_659    =     11933.0000 +   -0.6000x; interpolation
19800 <= x <  19830; y_660    =    -12487.0000 +    0.6333x; interpolation
19830 <= x <  19860; y_661    =     12631.0000 +   -0.6333x; interpolation
19860 <= x <  19890; y_662    =     -3919.0000 +    0.2000x; interpolation
19890 <= x <  19920; y_663    =     -7234.0000 +    0.3667x; interpolation
19920 <= x <  19950; y_664    =      6710.0000 +   -0.3333x; interpolation
19950 <= x <  19980; y_665    =     -6590.0000 +    0.3333x; interpolation
19980 <= x <  20010; y_666    =      6730.0000 +   -0.3333x; interpolation
20010 <= x <  20040; y_667    =     -6610.0000 +    0.3333x; interpolation
20040 <= x <  20070; y_668    =      6750.0000 +   -0.3333x; interpolation
20070 <= x <  20100; y_669    =     -4623.0000 +    0.2333x; interpolation
20100 <= x <  20130; y_670    =      4087.0000 +   -0.2000x; interpolation
20130 <= x <  20160; y_671    =     -5978.0000 +    0.3000x; interpolation
20160 <= x <  20190; y_672    =      5446.0000 +   -0.2667x; interpolation
20190 <= x <  20220; y_673    =     -3976.0000 +    0.2000x; interpolation
20220 <= x <  20250; y_674    =      4112.0000 +   -0.2000x; interpolation
20250 <= x <  20280; y_675    =     -5338.0000 +    0.2667x; interpolation
20280 <= x <  20310; y_676    =      -606.0000 +    0.0333x; interpolation
20310 <= x <  20340; y_677    =      1425.0000 +   -0.0667x; interpolation
20340 <= x <  20370; y_678    =     -1965.0000 +    0.1000x; interpolation
20370 <= x <  20400; y_679    =      1430.0000 +   -0.0667x; interpolation
20400 <= x <  20430; y_680    =     -1970.0000 +    0.1000x; interpolation
20430 <= x <  20460; y_681    =      1435.0000 +   -0.0667x; interpolation
20460 <= x <  20490; y_682    =     -1293.0000 +    0.0667x; interpolation
20490 <= x <  20520; y_683    =      1439.0000 +   -0.0667x; interpolation
20520 <= x <  20550; y_684    =        71.0000 +    0.0000x; interpolation
20550 <= x <  20580; y_685    =     12401.0000 +   -0.6000x; interpolation
20580 <= x <  20610; y_686    =     19261.0000 +   -0.9333x; interpolation
20610 <= x <  20640; y_687    =      2086.0000 +   -0.1000x; interpolation
20640 <= x <  20670; y_688    =    -21306.0000 +    1.0333x; interpolation
20670 <= x <  20700; y_689    =    -12349.0000 +    0.6000x; interpolation
20700 <= x <  20730; y_690    =     12491.0000 +   -0.6000x; interpolation
20730 <= x <  20760; y_691    =    -12385.0000 +    0.6000x; interpolation
20760 <= x <  20790; y_692    =     12527.0000 +   -0.6000x; interpolation
20790 <= x <  20820; y_693    =    -12421.0000 +    0.6000x; interpolation
20820 <= x <  20850; y_694    =     11869.0000 +   -0.5667x; interpolation
20850 <= x <  20880; y_695    =    -11761.0000 +    0.5667x; interpolation
20880 <= x <  20910; y_696    =     12599.0000 +   -0.6000x; interpolation
20910 <= x <  20940; y_697    =    -13190.0000 +    0.6333x; interpolation
20940 <= x <  20970; y_698    =     13334.0000 +   -0.6333x; interpolation
20970 <= x <  21000; y_699    =    -12529.0000 +    0.6000x; interpolation
21000 <= x <  21030; y_700    =     12671.0000 +   -0.6000x; interpolation
21030 <= x <  21060; y_701    =    -11864.0000 +    0.5667x; interpolation
21060 <= x <  21090; y_702    =     13408.0000 +   -0.6333x; interpolation
21090 <= x <  21120; y_703    =    -12603.0000 +    0.6000x; interpolation
21120 <= x <  21150; y_704    =     11333.0000 +   -0.5333x; interpolation
21150 <= x <  21180; y_705    =    -11227.0000 +    0.5333x; interpolation
21180 <= x <  21210; y_706    =     10659.0000 +   -0.5000x; interpolation
21210 <= x <  21240; y_707    =    -11258.0000 +    0.5333x; interpolation
21240 <= x <  21270; y_708    =     10690.0000 +   -0.5000x; interpolation
21270 <= x <  21300; y_709    =    -11289.0000 +    0.5333x; interpolation
21300 <= x <  21330; y_710    =     11431.0000 +   -0.5333x; interpolation
21330 <= x <  21360; y_711    =    -12032.0000 +    0.5667x; interpolation
21360 <= x <  21390; y_712    =     12888.0000 +   -0.6000x; interpolation
21390 <= x <  21420; y_713    =      2193.0000 +   -0.1000x; interpolation
21420 <= x <  21450; y_714    =     -1377.0000 +    0.0667x; interpolation
21450 <= x <  21480; y_715    =    -12817.0000 +    0.6000x; interpolation
21480 <= x <  21510; y_716    =     12243.0000 +   -0.5667x; interpolation
21510 <= x <  21540; y_717    =    -13569.0000 +    0.6333x; interpolation
21540 <= x <  21570; y_718    =     13715.0000 +   -0.6333x; interpolation
21570 <= x <  21600; y_719    =     -5698.0000 +    0.2667x; interpolation
21600 <= x <  21630; y_720    =      6542.0000 +   -0.3000x; interpolation
21630 <= x <  21660; y_721    =    -14367.0000 +    0.6667x; interpolation
21660 <= x <  21690; y_722    =     14513.0000 +   -0.6667x; interpolation
21690 <= x <  21720; y_723    =    -14407.0000 +    0.6667x; interpolation
21720 <= x <  21750; y_724    =     13829.0000 +   -0.6333x; interpolation
21750 <= x <  21780; y_725    =    -11546.0000 +    0.5333x; interpolation
21780 <= x <  21810; y_726    =     12412.0000 +   -0.5667x; interpolation
21810 <= x <  21840; y_727    =    -12306.0000 +    0.5667x; interpolation
21840 <= x <  21870; y_728    =     12446.0000 +   -0.5667x; interpolation
21870 <= x <  21900; y_729    =     -9424.0000 +    0.4333x; interpolation
21900 <= x <  21930; y_730    =      9556.0000 +   -0.4333x; interpolation
21930 <= x <  21960; y_731    =    -13836.0000 +    0.6333x; interpolation
21960 <= x <  21990; y_732    =     15444.0000 +   -0.7000x; interpolation
21990 <= x <  22020; y_733    =    -16075.0000 +    0.7333x; interpolation
22020 <= x <  22050; y_734    =     15487.0000 +   -0.7000x; interpolation
22050 <= x <  22080; y_735    =    -13178.0000 +    0.6000x; interpolation
22080 <= x <  22110; y_736    =     11846.0000 +   -0.5333x; interpolation
22110 <= x <  22140; y_737    =    -12475.0000 +    0.5667x; interpolation
22140 <= x <  22170; y_738    =     12617.0000 +   -0.5667x; interpolation
22170 <= x <  22200; y_739    =    -12509.0000 +    0.5667x; interpolation
22200 <= x <  22230; y_740    =     13391.0000 +   -0.6000x; interpolation
22230 <= x <  22260; y_741    =    -13285.0000 +    0.6000x; interpolation
22260 <= x <  22290; y_742    =     13427.0000 +   -0.6000x; interpolation
22290 <= x <  22320; y_743    =    -12578.0000 +    0.5667x; interpolation
22320 <= x <  22350; y_744    =       814.0000 +   -0.0333x; interpolation
22350 <= x <  22380; y_745    =     11244.0000 +   -0.5000x; interpolation
22380 <= x <  22410; y_746    =    -11136.0000 +    0.5000x; interpolation
22410 <= x <  22440; y_747    =      5298.0000 +   -0.2333x; interpolation
22440 <= x <  22470; y_748    =     -5174.0000 +    0.2333x; interpolation
22470 <= x <  22500; y_749    =     10555.0000 +   -0.4667x; interpolation
22500 <= x <  22530; y_750    =    -11195.0000 +    0.5000x; interpolation
22530 <= x <  22560; y_751    =     -2934.0000 +    0.1333x; interpolation
